cooalpha,codalpha,commodity_code,statreg,eligibility,use,perref,statvalue,netmass,suppunit,month,year,imports_total,imports_exc_special_regime,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility__pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref
AE,AE,22021000,2,e1,uzz,202201,4485,2148,19940.0,01,2022,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,22029100,1,e1,u10,202201,19110,48000,48000.0,01,2022,19110,19110,19110,0,0,0,0,0,19110,0,0,0,0,0,0,0,0
AE,AE,22029911,1,e1,u11,202201,2709,16620,16620.0,01,2022,2709,2709,2709,0,0,0,0,0,0,2709,0,0,0,0,0,0,0
AE,AE,22083011,1,e1,u10,202201,17088,1544,1536.0,01,2022,17088,17088,17088,0,0,0,0,0,17088,0,0,0,0,0,0,0,0
AE,AE,22084011,1,e1,u11,202201,1631,498,192.0,01,2022,1631,1631,1631,0,0,0,0,0,0,1631,0,0,0,0,0,0,0
AE,AE,24031990,1,e1,u11,202201,1667,24,0.0,01,2022,1667,1667,1667,0,0,0,0,0,0,1667,0,0,0,0,0,0,0
AE,AE,25162000,1,e1,u10,202201,87676,216000,0.0,01,2022,87676,87676,87676,0,0,0,0,0,87676,0,0,0,0,0,0,0,0
AE,AE,27101921,1,e1,u10,202201,96488370,162295331,0.0,01,2022,96488370,96488370,96488370,0,0,0,0,0,96488370,0,0,0,0,0,0,0,0
AE,AE,27101943,1,e1,u10,202201,28599368,58637269,0.0,01,2022,28599368,28599368,28599368,0,0,0,0,0,28599368,0,0,0,0,0,0,0,0
AE,AE,27101981,1,e1,u11,202201,39175,23710,28300.0,01,2022,39175,39175,39175,0,0,0,0,0,0,39175,0,0,0,0,0,0,0
AE,AE,27102090,1,e1,u11,202201,108998,70473,0.0,01,2022,108998,108998,108998,0,0,0,0,0,0,108998,0,0,0,0,0,0,0
AE,AE,27129099,1,e1,u10,202201,12863,5914,0.0,01,2022,12863,12863,12863,0,0,0,0,0,12863,0,0,0,0,0,0,0,0
AE,AE,28363000,1,e1,u11,202201,39923,21600,0.0,01,2022,39923,39923,39923,0,0,0,0,0,0,39923,0,0,0,0,0,0,0
AE,AE,29071510,1,e1,u10,202201,32601,3000,0.0,01,2022,32601,32601,32601,0,0,0,0,0,32601,0,0,0,0,0,0,0,0
AE,AE,29094100,1,e1,u11,202201,16555,11655,0.0,01,2022,16555,16555,16555,0,0,0,0,0,0,16555,0,0,0,0,0,0,0
AE,AE,32099000,1,e1,u11,202201,2632,197,0.0,01,2022,2632,2632,2632,0,0,0,0,0,0,2632,0,0,0,0,0,0,0
AE,AE,33011290,1,e1,u10,202201,2469,1,0.0,01,2022,2469,2469,2469,0,0,0,0,0,2469,0,0,0,0,0,0,0,0
AE,AE,33012949,1,e1,u10,202201,121175,48,0.0,01,2022,121175,121175,121175,0,0,0,0,0,121175,0,0,0,0,0,0,0,0
AE,AE,33012991,1,e1,u10,202201,4561,2097,0.0,01,2022,4561,4561,4561,0,0,0,0,0,4561,0,0,0,0,0,0,0,0
AE,AE,33019090,1,e1,u10,202201,1294,15,0.0,01,2022,1294,1294,1294,0,0,0,0,0,1294,0,0,0,0,0,0,0,0
AE,AE,33021090,1,e1,u10,202201,4059,1548,0.0,01,2022,4059,4059,4059,0,0,0,0,0,4059,0,0,0,0,0,0,0,0
AE,AE,33029090,1,e1,u10,202201,12525,1047,0.0,01,2022,12525,12525,12525,0,0,0,0,0,12525,0,0,0,0,0,0,0,0
AE,AE,33030010,1,e1,u10,202201,604962,50537,0.0,01,2022,604962,604962,604962,0,0,0,0,0,604962,0,0,0,0,0,0,0,0
AE,AE,33030090,1,e1,u10,202201,139240,9693,0.0,01,2022,139240,139240,139240,0,0,0,0,0,139240,0,0,0,0,0,0,0,0
AE,AE,33049900,1,e1,u10,202201,4584,173,0.0,01,2022,4584,4584,4584,0,0,0,0,0,4584,0,0,0,0,0,0,0,0
AE,AE,33051000,1,e1,u10,202201,5003,883,0.0,01,2022,5003,5003,5003,0,0,0,0,0,5003,0,0,0,0,0,0,0,0
AE,AE,33059000,1,e1,u10,202201,324088,58658,0.0,01,2022,324088,324088,324088,0,0,0,0,0,324088,0,0,0,0,0,0,0,0
AE,AE,33061000,1,e1,u10,202201,100460,30856,0.0,01,2022,100460,100460,100460,0,0,0,0,0,100460,0,0,0,0,0,0,0,0
AE,AE,33072000,1,e1,u11,202201,11426,1315,0.0,01,2022,11426,11426,11426,0,0,0,0,0,0,11426,0,0,0,0,0,0,0
AE,AE,33074100,1,e1,u11,202201,9669,1246,0.0,01,2022,9669,9669,9669,0,0,0,0,0,0,9669,0,0,0,0,0,0,0
AE,AE,33074900,1,e1,u11,202201,3275,2167,0.0,01,2022,3275,3275,3275,0,0,0,0,0,0,3275,0,0,0,0,0,0,0
AE,AE,33079000,1,e1,u11,202201,124662,5590,0.0,01,2022,124662,124662,124662,0,0,0,0,0,0,124662,0,0,0,0,0,0,0
AE,AE,34011100,1,e1,u10,202201,6523,1532,0.0,01,2022,6523,6523,6523,0,0,0,0,0,6523,0,0,0,0,0,0,0,0
AE,AE,34029090,1,e1,u11,202201,951,40,0.0,01,2022,951,951,951,0,0,0,0,0,0,951,0,0,0,0,0,0,0
AE,AE,35061000,1,e1,u11,202201,2479,320,0.0,01,2022,2479,2479,2479,0,0,0,0,0,0,2479,0,0,0,0,0,0,0
AE,AE,36069090,1,e1,u10,202201,12186,8417,0.0,01,2022,12186,12186,12186,0,0,0,0,0,12186,0,0,0,0,0,0,0,0
AE,AE,38089990,1,e1,u11,202201,29481,5970,0.0,01,2022,29481,29481,29481,0,0,0,0,0,0,29481,0,0,0,0,0,0,0
AE,AE,38200000,1,e1,u10,202201,2287,716,0.0,01,2022,2287,2287,2287,0,0,0,0,0,2287,0,0,0,0,0,0,0,0
AE,AE,38221900,1,e1,u10,202201,14102,16,0.0,01,2022,14102,14102,14102,0,0,0,0,0,14102,0,0,0,0,0,0,0,0
AE,AE,38229000,1,e1,u10,202201,145992,487,0.0,01,2022,145992,145992,145992,0,0,0,0,0,145992,0,0,0,0,0,0,0,0
AE,AE,39011010,1,e1,u11,202201,339549,282130,0.0,01,2022,339549,339549,339549,0,0,0,0,0,0,339549,0,0,0,0,0,0,0
AE,AE,39011090,1,e1,u11,202201,139456,86400,0.0,01,2022,139456,139456,139456,0,0,0,0,0,0,139456,0,0,0,0,0,0,0
AE,AE,39021000,1,e1,u11,202201,137389,102000,0.0,01,2022,137389,137389,137389,0,0,0,0,0,0,137389,0,0,0,0,0,0,0
AE,AE,39029020,1,e1,u10,202201,100169,195000,0.0,01,2022,100169,100169,100169,0,0,0,0,0,100169,0,0,0,0,0,0,0,0
AE,AE,39076900,1,e1,u11,202201,12154,53140,0.0,01,2022,12154,12154,12154,0,0,0,0,0,0,12154,0,0,0,0,0,0,0
AE,AE,39079110,1,e1,u11,202201,42989,24900,0.0,01,2022,42989,42989,42989,0,0,0,0,0,0,42989,0,0,0,0,0,0,0
AE,AE,39095090,1,e1,u11,202201,172422,50400,0.0,01,2022,172422,172422,172422,0,0,0,0,0,0,172422,0,0,0,0,0,0,0
AE,AE,39123985,1,e1,u11,202201,8549,1051,0.0,01,2022,8549,8549,8549,0,0,0,0,0,0,8549,0,0,0,0,0,0,0
AE,AE,39172310,1,e1,u11,202201,2269,1729,0.0,01,2022,2269,2269,2269,0,0,0,0,0,0,2269,0,0,0,0,0,0,0
AE,AE,39172900,1,e1,u11,202201,90991,13962,0.0,01,2022,90991,90991,90991,0,0,0,0,0,0,90991,0,0,0,0,0,0,0
AE,AE,39173200,1,e1,u11,202201,9123,7235,0.0,01,2022,9123,9123,9123,0,0,0,0,0,0,9123,0,0,0,0,0,0,0
AE,AE,39173900,1,e1,u11,202201,100800,53200,0.0,01,2022,100800,100800,100800,0,0,0,0,0,0,100800,0,0,0,0,0,0,0
AE,AE,39174000,1,e1,u11,202201,2421,137,0.0,01,2022,2421,2421,2421,0,0,0,0,0,0,2421,0,0,0,0,0,0,0
AE,AE,39203000,1,e1,u11,202201,6454,2882,0.0,01,2022,6454,6454,6454,0,0,0,0,0,0,6454,0,0,0,0,0,0,0
AE,AE,39204910,1,e1,u11,202201,36172,19531,0.0,01,2022,36172,36172,36172,0,0,0,0,0,0,36172,0,0,0,0,0,0,0
AE,AE,39206290,1,e1,u11,202201,26908,26824,0.0,01,2022,26908,26908,26908,0,0,0,0,0,0,26908,0,0,0,0,0,0,0
AE,AE,39211900,1,e1,u11,202201,42052,1088,0.0,01,2022,42052,42052,42052,0,0,0,0,0,0,42052,0,0,0,0,0,0,0
AE,AE,39219090,1,e1,u11,202201,39347,18048,0.0,01,2022,39347,39347,39347,0,0,0,0,0,0,39347,0,0,0,0,0,0,0
AE,AE,39229000,1,e1,u11,202201,57376,4350,0.0,01,2022,57376,57376,57376,0,0,0,0,0,0,57376,0,0,0,0,0,0,0
AE,AE,39232100,1,e1,u11,202201,193032,313298,0.0,01,2022,193032,193032,193032,0,0,0,0,0,0,193032,0,0,0,0,0,0,0
AE,AE,39232990,1,e1,u11,202201,85417,160880,0.0,01,2022,85417,85417,85417,0,0,0,0,0,0,85417,0,0,0,0,0,0,0
AE,AE,39233090,1,e1,u11,202201,8775,4800,400.0,01,2022,8775,8775,8775,0,0,0,0,0,0,8775,0,0,0,0,0,0,0
AE,AE,39235090,1,e1,u11,202201,1682,631,0.0,01,2022,1682,1682,1682,0,0,0,0,0,0,1682,0,0,0,0,0,0,0
AE,AE,39235090,2,e1,uzz,202201,1011,11,0.0,01,2022,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,39239000,1,e1,u11,202201,298261,149437,0.0,01,2022,298261,298261,298261,0,0,0,0,0,0,298261,0,0,0,0,0,0,0
AE,AE,39241000,1,e1,u11,202201,22108,8214,0.0,01,2022,22108,22108,22108,0,0,0,0,0,0,22108,0,0,0,0,0,0,0
AE,AE,39249000,1,e1,u11,202201,38192,6485,0.0,01,2022,38192,38192,38192,0,0,0,0,0,0,38192,0,0,0,0,0,0,0
AE,AE,39251000,1,e1,u11,202201,24185,2787,0.0,01,2022,24185,24185,24185,0,0,0,0,0,0,24185,0,0,0,0,0,0,0
AE,AE,39252000,1,e1,u11,202201,6016,660,60.0,01,2022,6016,6016,6016,0,0,0,0,0,0,6016,0,0,0,0,0,0,0
AE,AE,39253000,1,e1,u11,202201,11488,1512,0.0,01,2022,11488,11488,11488,0,0,0,0,0,0,11488,0,0,0,0,0,0,0
AE,AE,39259020,1,e1,u11,202201,76394,37907,0.0,01,2022,76394,76394,76394,0,0,0,0,0,0,76394,0,0,0,0,0,0,0
AE,AE,39269050,1,e1,u11,202201,7547,302,0.0,01,2022,7547,7547,7547,0,0,0,0,0,0,7547,0,0,0,0,0,0,0
AE,AE,39269097,1,e1,u11,202201,26730,8509,0.0,01,2022,26730,26730,26730,0,0,0,0,0,0,26730,0,0,0,0,0,0,0
AE,AE,40028000,1,e1,u10,202201,27798,1833,0.0,01,2022,27798,27798,27798,0,0,0,0,0,27798,0,0,0,0,0,0,0,0
AE,AE,40030000,1,e1,u10,202201,20380,13700,0.0,01,2022,20380,20380,20380,0,0,0,0,0,20380,0,0,0,0,0,0,0,0
AE,AE,40081100,1,e1,u11,202201,2746,276,0.0,01,2022,2746,2746,2746,0,0,0,0,0,0,2746,0,0,0,0,0,0,0
AE,AE,40092200,1,e1,u11,202201,2000,3108,0.0,01,2022,2000,2000,2000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0
AE,AE,40112090,1,e1,u11,202201,160036,25663,364.0,01,2022,160036,160036,160036,0,0,0,0,0,0,160036,0,0,0,0,0,0,0
AE,AE,40122000,1,e1,u11,202201,14188,12680,1100.0,01,2022,14188,14188,14188,0,0,0,0,0,0,14188,0,0,0,0,0,0,0
AE,AE,40169100,1,e1,u11,202201,53895,48900,0.0,01,2022,53895,53895,53895,0,0,0,0,0,0,53895,0,0,0,0,0,0,0
AE,AE,40169300,1,e1,u11,202201,10511,100,0.0,01,2022,10511,10511,10511,0,0,0,0,0,0,10511,0,0,0,0,0,0,0
AE,AE,42021990,1,e1,u11,202201,19145,3219,0.0,01,2022,19145,19145,19145,0,0,0,0,0,0,19145,0,0,0,0,0,0,0
AE,AE,42022100,1,e1,u11,202201,6033,8,10.0,01,2022,6033,6033,6033,0,0,0,0,0,0,6033,0,0,0,0,0,0,0
AE,AE,42029900,1,e1,u11,202201,12154,1718,0.0,01,2022,12154,12154,12154,0,0,0,0,0,0,12154,0,0,0,0,0,0,0
AE,AE,44029000,1,e1,u10,202201,1373,316,0.0,01,2022,1373,1373,1373,0,0,0,0,0,1373,0,0,0,0,0,0,0,0
AE,AE,44092999,1,e1,u10,202201,1357,350,0.0,01,2022,1357,1357,1357,0,0,0,0,0,1357,0,0,0,0,0,0,0,0
AE,AE,44170000,1,e1,u10,202201,3420,111,0.0,01,2022,3420,3420,3420,0,0,0,0,0,3420,0,0,0,0,0,0,0,0
AE,AE,44182190,1,e1,u10,202201,35462,2662,370.0,01,2022,35462,35462,35462,0,0,0,0,0,35462,0,0,0,0,0,0,0,0
AE,AE,44182950,1,e1,u10,202201,2686,5690,170.0,01,2022,2686,2686,2686,0,0,0,0,0,2686,0,0,0,0,0,0,0,0
AE,AE,44182980,1,e1,u10,202201,111531,9878,164.0,01,2022,111531,111531,111531,0,0,0,0,0,111531,0,0,0,0,0,0,0,0
AE,AE,48030031,1,e1,u10,202201,60273,43248,0.0,01,2022,60273,60273,60273,0,0,0,0,0,60273,0,0,0,0,0,0,0,0
AE,AE,48030039,1,e1,u10,202201,29067,21624,0.0,01,2022,29067,29067,29067,0,0,0,0,0,29067,0,0,0,0,0,0,0,0
AE,AE,48114190,1,e1,u10,202201,6270,428,0.0,01,2022,6270,6270,6270,0,0,0,0,0,6270,0,0,0,0,0,0,0,0
AE,AE,48171000,1,e1,u10,202201,19434,10334,0.0,01,2022,19434,19434,19434,0,0,0,0,0,19434,0,0,0,0,0,0,0,0
AE,AE,48191000,1,e1,u10,202201,20436,15160,0.0,01,2022,20436,20436,20436,0,0,0,0,0,20436,0,0,0,0,0,0,0,0
AE,AE,48192000,1,e1,u10,202201,40142,34892,0.0,01,2022,40142,40142,40142,0,0,0,0,0,40142,0,0,0,0,0,0,0,0
AE,AE,48193000,1,e1,u10,202201,29539,19479,0.0,01,2022,29539,29539,29539,0,0,0,0,0,29539,0,0,0,0,0,0,0,0
AE,AE,48194000,1,e1,u10,202201,637633,417296,0.0,01,2022,637633,637633,637633,0,0,0,0,0,637633,0,0,0,0,0,0,0,0
AE,AE,48195000,1,e1,u10,202201,23427,12554,0.0,01,2022,23427,23427,23427,0,0,0,0,0,23427,0,0,0,0,0,0,0,0
AE,AE,48195000,2,e1,u10,202201,1016,11,0.0,01,2022,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,AE,48202000,1,e1,u10,202201,1589,664,0.0,01,2022,1589,1589,1589,0,0,0,0,0,1589,0,0,0,0,0,0,0,0
AE,AE,48203000,1,e1,u10,202201,6211,1375,0.0,01,2022,6211,6211,6211,0,0,0,0,0,6211,0,0,0,0,0,0,0,0
AE,AE,48209000,1,e1,u10,202201,1398,399,0.0,01,2022,1398,1398,1398,0,0,0,0,0,1398,0,0,0,0,0,0,0,0
AE,AE,48211090,1,e1,u10,202201,7139,1005,0.0,01,2022,7139,7139,7139,0,0,0,0,0,7139,0,0,0,0,0,0,0,0
AE,AE,48219090,1,e1,u10,202201,2639,126,0.0,01,2022,2639,2639,2639,0,0,0,0,0,2639,0,0,0,0,0,0,0,0
AE,AE,48236910,1,e1,u10,202201,189169,120854,0.0,01,2022,189169,189169,189169,0,0,0,0,0,189169,0,0,0,0,0,0,0,0
AE,AE,48236990,1,e1,u10,202201,81382,19307,0.0,01,2022,81382,81382,81382,0,0,0,0,0,81382,0,0,0,0,0,0,0,0
AE,AE,48239085,1,e1,u10,202201,11479,7490,0.0,01,2022,11479,11479,11479,0,0,0,0,0,11479,0,0,0,0,0,0,0,0
AE,AE,49011000,1,e1,u10,202201,22912,2610,0.0,01,2022,22912,22912,22912,0,0,0,0,0,22912,0,0,0,0,0,0,0,0
AE,AE,49019900,1,e1,u10,202201,1010973,384546,0.0,01,2022,1010973,1010973,1010973,0,0,0,0,0,1010973,0,0,0,0,0,0,0,0
AE,AE,49090000,1,e1,u10,202201,1028,4,0.0,01,2022,1028,1028,1028,0,0,0,0,0,1028,0,0,0,0,0,0,0,0
AE,AE,49111010,1,e1,u10,202201,17368,1499,0.0,01,2022,17368,17368,17368,0,0,0,0,0,17368,0,0,0,0,0,0,0,0
AE,AE,49119900,1,e1,u10,202201,151204,8718,0.0,01,2022,151204,151204,151204,0,0,0,0,0,151204,0,0,0,0,0,0,0,0
AE,AE,51113080,1,e1,u11,202201,24804,8196,48203.0,01,2022,24804,24804,24804,0,0,0,0,0,0,24804,0,0,0,0,0,0,0
AE,AE,54049090,1,e1,u10,202201,239894,79000,0.0,01,2022,239894,239894,239894,0,0,0,0,0,239894,0,0,0,0,0,0,0,0
AE,AE,55129990,1,e1,u11,202201,2243,126,1622.0,01,2022,2243,2243,2243,0,0,0,0,0,0,2243,0,0,0,0,0,0,0
AE,AE,57019090,1,e1,u10,202201,865,1320,240.0,01,2022,865,865,865,0,0,0,0,0,865,0,0,0,0,0,0,0,0
AE,AE,58071010,1,e1,u11,202201,2253,239,0.0,01,2022,2253,2253,2253,0,0,0,0,0,0,2253,0,0,0,0,0,0,0
AE,AE,61034300,1,e1,u11,202201,9740,552,2192.0,01,2022,9740,9740,9740,0,0,0,0,0,0,9740,0,0,0,0,0,0,0
AE,AE,61043200,1,e1,u11,202201,1162,92,200.0,01,2022,1162,1162,1162,0,0,0,0,0,0,1162,0,0,0,0,0,0,0
AE,AE,61044200,1,e1,u11,202201,3082,111,379.0,01,2022,3082,3082,3082,0,0,0,0,0,0,3082,0,0,0,0,0,0,0
AE,AE,61044300,1,e1,u11,202201,51286,1632,4672.0,01,2022,51286,51286,51286,0,0,0,0,0,0,51286,0,0,0,0,0,0,0
AE,AE,61045300,1,e1,u11,202201,10388,324,1008.0,01,2022,10388,10388,10388,0,0,0,0,0,0,10388,0,0,0,0,0,0,0
AE,AE,61046200,1,e1,u11,202201,3729,269,1074.0,01,2022,3729,3729,3729,0,0,0,0,0,0,3729,0,0,0,0,0,0,0
AE,AE,61046300,1,e1,u11,202201,4462,172,903.0,01,2022,4462,4462,4462,0,0,0,0,0,0,4462,0,0,0,0,0,0,0
AE,AE,61083900,1,e1,u11,202201,10097,283,1193.0,01,2022,10097,10097,10097,0,0,0,0,0,0,10097,0,0,0,0,0,0,0
AE,AE,61091000,1,e1,u11,202201,4747,300,1331.0,01,2022,4747,4747,4747,0,0,0,0,0,0,4747,0,0,0,0,0,0,0
AE,AE,61099020,1,e1,u11,202201,10721,548,2684.0,01,2022,10721,10721,10721,0,0,0,0,0,0,10721,0,0,0,0,0,0,0
AE,AE,61099090,1,e1,u11,202201,10294,408,1793.0,01,2022,10294,10294,10294,0,0,0,0,0,0,10294,0,0,0,0,0,0,0
AE,AE,61102091,1,e1,u11,202201,1819,95,265.0,01,2022,1819,1819,1819,0,0,0,0,0,0,1819,0,0,0,0,0,0,0
AE,AE,61103091,1,e1,u11,202201,5709,226,826.0,01,2022,5709,5709,5709,0,0,0,0,0,0,5709,0,0,0,0,0,0,0
AE,AE,61112090,1,e1,u11,202201,13176,472,0.0,01,2022,13176,13176,13176,0,0,0,0,0,0,13176,0,0,0,0,0,0,0
